"","profit_margin_average","ebitda_margin_average","salaries_turnover_average","old_company_name","Company.name"
"1",NA,NA,NA,"ACORN HOMES (U.K.) LIMITED","ACORN HOMES (UK) LIMITED"
"2",NA,NA,NA,"ALBRIGHTON CARE HOMES LTD","ALBRIGHTON CARE LIMITED"
"3",11.763,20.3725,44.20625,"BAYIS SHELI LTD","BAYIS SHELI LTD"
"4",NA,NA,NA,"CARE ASSIST CHILDRENS SERVICES LTD","CARE ASSIST CHILDREN'S SERVICES LIMITED"
"5",NA,NA,NA,"CONQUERED LIMITED","CONQUERED LIMITED"
"6",NA,NA,NA,"CROSSWAY SERVICES LIMITED","CROSSWAY SERVICES LIMITED"
"7",NA,NA,NA,"DETAIL PERSONNEL CARE LIMITED","DETAIL PERSONNEL CARE LIMITED"
"8",-1.2125,-0.467500000000001,68.29,"DEVON & CORNWALL AUTISTIC COMMUNITY TRUST","DEVON & CORNWALL AUTISTIC COMMUNITY TRUST"
"9",NA,NA,NA,"PADDOCK HOUSE LIMITED","DISCOVERED LIMITED"
"10",NA,NA,NA,"EMBRACE CARE LTD","EMBRACE CARE LTD"
"11",NA,NA,NA,"EXCEPTIONAL CARE LIMITED","EXCEPTIONAL CARE LIMITED"
"12",NA,NA,NA,"FIRST 4 CARE LIMITED","FIRST 4 CARE LIMITED"
"13",NA,NA,NA,"FIRST STEPS CARE LTD","FIRST STEPS CARE LTD"
"14",NA,NA,NA,"FUTURE FOCUSED LTD","FUTURE FOCUSED LTD"
"15",NA,NA,NA,"GOOD FOUNDATION LTD","GOOD FOUNDATIONS LIMITED"
"16",NA,NA,NA,"GRACE CARE LIMITED","GRACE CARE LIMITED"
"17",NA,NA,NA,"HAND IN HAND CHILDCARE LLP","HAND IN HAND CHILDCARE LTD"
"18",NA,NA,NA,"HEADWAY HOUSE LIMITED","HEADWAY HOUSE LIMITED"
"19",NA,NA,NA,"HELM CARE SERVICES LTD","HELM CARE SERVICES LTD"
"20",NA,NA,NA,"LOYAL CARE LIMITED","LOYAL CARE LIMITED"
"21",NA,NA,NA,"MADIBA LIMITED","MADIBA LIMITED"
"22",NA,NA,NA,"MONTAGE SERVICES LIMITED","MONTAGE SERVICES LIMITED"
"23",NA,NA,NA,"MONTAGE SERVICES LIMITED","MONTAGE SERVICES LIMITED"
"24",NA,NA,NA,"NH CARE LIMITED","N H CARE LIMITED"
"25",NA,NA,NA,"ONE STEP CARE LIMITED","ONE STEP CARE LIMITED"
"26",NA,NA,NA,"PADDOCK HOUSE LIMITED","PADDOCK HOUSE LIMITED"
"27",NA,NA,NA,"PROACTIVE CARE SERVICES LIMITED","PROACTIVE CARE (MANCHESTER) LTD"
"28",-0.885,2.663,78.603,"PURPLE OAK SUPPORT","PURPLE OAK SUPPORT"
"29",NA,NA,NA,"RAINBOW CORNER LIMITED","RAINBOWS CORNER LIMITED"
"30",NA,NA,NA,"RESTORING LIVES LTD","RESTORING LIVES LTD"
"31",NA,NA,NA,"HORIZON INDEPENDENT CARE LTD","HORIZON INDEPENDENT CARE LTD"
"32",7.801,12.403,56.041,"SOUTHEND-ON-SEA YOUNG MEN'S CHRISTIAN ASSOCIATION","SOUTHEND-ON-SEA YOUNG MEN'S CHRISTIAN ASSOCIATION"
"33",NA,NA,NA,"SUPPORTING FUTURES LIMITED","SUPPORTING FUTURES LIMITED"
"34",8.303,12.449,67.286,"THE MULBERRY BUSH ORGANISATION LIMITED","THE MULBERRY BUSH ORGANISATION LIMITED"
"35",NA,NA,NA,"THE QALB SHORT BREAK SERVICES LTD","THE QALB SHORT BREAK SERVICES LTD"
"36",NA,NA,NA,"UBUNTU GROUP LTD","UBUNTU GROUP LTD"
"37",4.986,5.623,63.925,"UNSEEN (UK)","UNSEEN (UK)"
"38",NA,NA,NA,"WEST CUMBRIA CARE AND SUPPORT","WEST CUMBRIA CARE AND SUPPORT"
